fullName,rank,companyNumber,age
Иванов Андрей Кириллович,полковник,3,59
Соловьёв Виктор Ильич,майор,6,56
Васильев Матвей Викторович,полковник,2,43
Петров Олег Павлович,полковник,6,25
Фёдоров Андрей Павлович,рядовой,2,59
Николаев Егор Андреевич,рядовой,11,28
Борисов Олег Дмитриевич,сержант,2,41
Смирнов Артём Кириллович,рядовой,3,25
Морозов Павел Олегович,лейтенант,12,26
Зайцев Виктор Павлович,лейтенант,5,41
Иванов Виктор Дмитриевич,прапорщик,8,35
Смирнов Юрий Юрьевич,лейтенант,4,24
Орлов Александр Алексеевич,майор,8,48
Соколов Илья Кириллович,капитан,8,58
Морозов Кирилл Олегович,сержант,9,44
Козлов Алексей Романович,лейтенант,12,37
Васильев Александр Алексеевич,капитан,2,20
Кузнецов Константин Сергеевич,сержант,1,24
Козлов Артём Никитич,капитан,6,59
Орлов Виктор Кириллович,капитан,1,55
Новиков Дмитрий Романович,лейтенант,4,46
Борисов Дмитрий Дмитриевич,лейтенант,8,58
Захаров Евгений Алексеевич,полковник,4,22
Козлов Степан Никитич,сержант,9,56
Кочергин Роман Дмитриевич,полковник,7,22
Кочергин Павел Павлович,сержант,1,41
Степанов Александр Михайлович,капитан,2,43
Петров Виктор Павлович,прапорщик,9,22
Фёдоров Илья Иванович,полковник,10,59
Захаров Юрий Сергеевич,рядовой,7,50
Павлов Евгений Юрьевич,рядовой,8,41
Смирнов Денис Кириллович,рядовой,12,30
Михайлов Евгений Сергеевич,капитан,11,56
Михайлов Виктор Михайлович,сержант,10,56
Иванов Артём Максимович,лейтенант,1,30
Соколов Юрий Максимович,сержант,9,38
Захаров Артём Сергеевич,сержант,5,27
Николаев Артём Дмитриевич,лейтенант,6,55
Андреев Кирилл Никитич,прапорщик,10,40
Борисов Дмитрий Викторович,сержант,12,44
Морозов Кирилл Иванович,лейтенант,12,18
Петров Юрий Олегович,рядовой,1,32
Павлов Александр Юрьевич,прапорщик,7,31
Захаров Константин Юрьевич,майор,12,42
Николаев Илья Романович,сержант,6,22
Иванов Виктор Викторович,прапорщик,10,59
Алексеев Андрей Андреевич,рядовой,12,18
Орлов Алексей Никитич,прапорщик,11,39
Попов Михаил Андреевич,майор,8,34
Кочергин Никита Кириллович,капитан,6,49
Попов Олег Викторович,рядовой,5,23
Лебедев Евгений Романович,полковник,6,38
Макаров Алексей Сергеевич,рядовой,11,57
Смирнов Артём Павлович,капитан,11,18
Козлов Алексей Никитич,капитан,3,34
Николаев Егор Ильич,рядовой,1,30
Захаров Егор Александрович,капитан,8,52
Егоров Сергей Романович,лейтенант,8,43
Иванов Павел Кириллович,полковник,1,42
Зайцев Максим Ильич,майор,2,47
Степанов Матвей Максимович,лейтенант,12,34
Павлов Павел Ильич,капитан,4,49
Соловьёв Александр Сергеевич,полковник,10,54
Попов Егор Андреевич,прапорщик,5,51
Попов Павел Олегович,рядовой,5,24
Лебедев Михаил Юрьевич,рядовой,7,29
Попов Сергей Романович,сержант,2,45
Орлов Дмитрий Викторович,капитан,5,40
Яковлев Дмитрий Павлович,полковник,9,32
Морозов Степан Сергеевич,сержант,4,34
Иванов Никита Иванович,рядовой,11,31
