fullName,rank,companyNumber,age
Смирнов Алексей Викторович,полковник,5,28
Новиков Иван Алексеевич,рядовой,11,25
Попов Алексей Иванович,майор,2,51
Алексеев Виктор Максимович,майор,6,59
Семёнов Роман Ильич,сержант,11,21
Алексеев Кирилл Викторович,сержант,4,33
Борисов Олег Романович,сержант,10,26
Павлов Михаил Викторович,майор,9,49
Орлов Алексей Дмитриевич,майор,9,26
Михайлов Павел Андреевич,рядовой,6,26
Иванов Максим Алексеевич,полковник,9,49
Кочергин Павел Кириллович,сержант,1,28
Орлов Александр Дмитриевич,прапорщик,5,56
Смирнов Евгений Никитич,майор,5,49
Никитин Степан Никитич,лейтенант,5,43
Яковлев Степан Викторович,сержант,7,57
Петров Евгений Никитич,капитан,4,30
Петров Алексей Романович,рядовой,5,53
Семёнов Роман Максимович,полковник,8,18
Смирнов Алексей Олегович,полковник,1,32
Иванов Константин Юрьевич,полковник,5,27
Попов Матвей Максимович,сержант,1,18
Павлов Павел Ильич,сержант,5,43
Фёдоров Никита Алексеевич,капитан,8,37
Козлов Константин Максимович,майор,9,38
Соловьёв Михаил Андреевич,лейтенант,8,40
Орлов Максим Алексеевич,капитан,7,20
Фёдоров Иван Александрович,полковник,9,60
Кузнецов Дмитрий Иванович,майор,11,30
Степанов Артём Дмитриевич,капитан,4,26
Михайлов Константин Максимович,лейтенант,6,36
Козлов Александр Олегович,полковник,4,44
Иванов Денис Александрович,капитан,11,52
Андреев Виктор Иванович,рядовой,5,41
Морозов Максим Ильич,рядовой,7,31
Кочергин Александр Романович,лейтенант,4,18
Морозов Сергей Юрьевич,лейтенант,10,33
Кочергин Кирилл Сергеевич,лейтенант,9,27
Новиков Сергей Юрьевич,рядовой,8,21
Попов Михаил Юрьевич,лейтенант,9,25
Орлов Денис Викторович,лейтенант,3,21
Николаев Дмитрий Павлович,майор,7,53
Макаров Иван Иванович,полковник,4,38
Борисов Артём Викторович,полковник,3,54
Степанов Никита Алексеевич,лейтенант,10,50
Сидоров Алексей Михайлович,капитан,10,20
Петров Максим Иванович,сержант,11,27
Кочергин Виктор Романович,рядовой,12,44
Васильев Никита Дмитриевич,полковник,10,30
Кочергин Константин Олегович,сержант,9,31
Козлов Артём Ильич,прапорщик,3,56
Павлов Никита Романович,лейтенант,9,38
Яковлев Максим Никитич,капитан,12,19
Соловьёв Максим Юрьевич,майор,8,48
Михайлов Евгений Александрович,сержант,12,39
Алексеев Артём Юрьевич,рядовой,6,58
Яковлев Евгений Дмитриевич,полковник,9,34
Павлов Артём Сергеевич,майор,1,25
Васильев Олег Олегович,полковник,2,25
Яковлев Артём Иванович,прапорщик,4,28
Алексеев Евгений Максимович,полковник,12,52
Егоров Никита Никитич,рядовой,2,40
Николаев Илья Иванович,прапорщик,9,40
Макаров Сергей Юрьевич,майор,5,43
Семёнов Егор Максимович,капитан,8,23
Орлов Матвей Ильич,лейтенант,12,28
Алексеев Денис Александрович,рядовой,11,41
Васильев Александр Кириллович,полковник,5,57
Семёнов Денис Олегович,майор,11,51
Никитин Павел Романович,майор,5,42
Петров Сергей Юрьевич,лейтенант,1,43
Кузнецов Михаил Михайлович,сержант,11,23
Козлов Матвей Никитич,сержант,11,24
Алексеев Артём Ильич,сержант,5,36
Лебедев Роман Иванович,сержант,2,60
Козлов Артём Александрович,полковник,1,26
Фёдоров Юрий Дмитриевич,лейтенант,10,49
Яковлев Артём Андреевич,капитан,6,50
Сидоров Илья Максимович,прапорщик,11,53
Фёдоров Роман Алексеевич,сержант,9,26
Алексеев Роман Михайлович,капитан,11,28
Михайлов Максим Павлович,лейтенант,7,49
Лебедев Роман Михайлович,рядовой,10,39
Захаров Александр Юрьевич,капитан,12,58
Лебедев Михаил Дмитриевич,сержант,10,54
Зайцев Юрий Ильич,прапорщик,8,23
Макаров Денис Викторович,сержант,6,57
Захаров Матвей Кириллович,полковник,10,23
Сидоров Константин Андреевич,майор,11,52
Захаров Матвей Иванович,капитан,12,29
Макаров Виктор Дмитриевич,рядовой,6,54
Смирнов Артём Олегович,капитан,2,26
Соколов Евгений Дмитриевич,лейтенант,9,24
Захаров Максим Михайлович,полковник,10,42
Николаев Павел Юрьевич,майор,8,35
Николаев Максим Викторович,майор,3,43
Егоров Роман Олегович,капитан,4,40
Макаров Матвей Юрьевич,лейтенант,1,47
Морозов Егор Алексеевич,рядовой,8,31
Фёдоров Сергей Романович,рядовой,5,28
Кочергин Денис Дмитриевич,майор,4,29
Соколов Александр Ильич,майор,12,36
Петров Андрей Сергеевич,прапорщик,4,45
Лебедев Иван Дмитриевич,прапорщик,2,30
Орлов Павел Юрьевич,лейтенант,6,31
Соколов Артём Андреевич,рядовой,6,22
Фёдоров Иван Андреевич,лейтенант,1,39
Сидоров Илья Сергеевич,рядовой,10,51
Зайцев Роман Максимович,полковник,10,53
Сидоров Сергей Максимович,полковник,4,59
Васильев Никита Иванович,рядовой,8,21
Петров Роман Кириллович,полковник,2,45
Петров Денис Сергеевич,сержант,3,38
Орлов Андрей Никитич,полковник,4,22
Петров Александр Романович,прапорщик,5,36
Кочергин Денис Олегович,капитан,2,30
Лебедев Денис Никитич,полковник,2,35
Михайлов Матвей Олегович,лейтенант,3,21
Кузнецов Михаил Романович,рядовой,8,27
Сидоров Егор Юрьевич,капитан,8,56
Яковлев Евгений Юрьевич,майор,6,58
Яковлев Егор Дмитриевич,рядовой,7,37
Козлов Артём Никитич,капитан,1,24
Макаров Матвей Дмитриевич,капитан,2,57
Степанов Максим Романович,майор,1,32
Фёдоров Кирилл Иванович,лейтенант,6,26
Соловьёв Евгений Ильич,майор,4,26
Петров Павел Александрович,прапорщик,12,27
Семёнов Егор Михайлович,лейтенант,11,58
Васильев Виктор Никитич,полковник,2,30
Орлов Матвей Максимович,лейтенант,12,47
Борисов Михаил Павлович,лейтенант,2,56
Николаев Михаил Кириллович,рядовой,3,42
Борисов Павел Ильич,прапорщик,3,50
Михайлов Александр Юрьевич,капитан,3,34
Борисов Артём Кириллович,майор,2,53
Павлов Андрей Романович,полковник,6,30
Морозов Роман Андреевич,прапорщик,5,48
Сидоров Денис Викторович,капитан,11,53
Соловьёв Михаил Кириллович,майор,3,49
Соколов Сергей Иванович,капитан,4,30
Сидоров Матвей Романович,сержант,7,43
Новиков Дмитрий Кириллович,полковник,11,24
Егоров Константин Алексеевич,майор,2,40
Попов Егор Михайлович,рядовой,5,26
Зайцев Александр Александрович,прапорщик,10,56
Зайцев Иван Никитич,прапорщик,9,49
Андреев Виктор Ильич,капитан,3,51
Степанов Виктор Дмитриевич,капитан,10,35
Новиков Александр Павлович,майор,7,49
Сидоров Степан Александрович,капитан,7,53
Морозов Никита Юрьевич,майор,2,37
Козлов Егор Павлович,сержант,12,20
Михайлов Павел Викторович,капитан,1,55
Алексеев Максим Сергеевич,прапорщик,7,55
Борисов Никита Викторович,капитан,2,60
Васильев Роман Никитич,сержант,10,44
Макаров Сергей Ильич,прапорщик,9,42
Егоров Кирилл Юрьевич,капитан,8,20
Козлов Иван Олегович,лейтенант,5,40
Новиков Юрий Кириллович,полковник,3,45
Степанов Кирилл Олегович,прапорщик,4,59
Борисов Андрей Максимович,полковник,1,54
Смирнов Денис Викторович,капитан,10,48
Павлов Егор Михайлович,капитан,4,34
Иванов Юрий Андреевич,рядовой,4,40
Кочергин Роман Дмитриевич,рядовой,8,20
Иванов Кирилл Кириллович,полковник,3,21
Козлов Кирилл Романович,капитан,5,34
Михайлов Алексей Ильич,капитан,8,55
Соловьёв Юрий Викторович,рядовой,3,26
Кузнецов Константин Павлович,прапорщик,3,50
Николаев Евгений Павлович,сержант,7,31
Егоров Юрий Ильич,рядовой,5,19
Павлов Максим Павлович,капитан,2,30
Смирнов Дмитрий Павлович,прапорщик,10,38
Макаров Илья Михайлович,сержант,5,44
Васильев Михаил Михайлович,сержант,12,31
Козлов Михаил Романович,сержант,7,35
Никитин Кирилл Викторович,капитан,12,19
Павлов Виктор Максимович,лейтенант,10,35
Яковлев Павел Михайлович,сержант,6,53
Фёдоров Юрий Кириллович,рядовой,1,26
Захаров Алексей Юрьевич,сержант,10,39
Яковлев Денис Михайлович,майор,8,46
Иванов Александр Сергеевич,капитан,4,59
Иванов Олег Максимович,рядовой,2,26
Никитин Илья Александрович,прапорщик,8,37
Смирнов Денис Михайлович,майор,2,38
Егоров Никита Романович,рядовой,10,40
Петров Евгений Романович,майор,1,40
Николаев Юрий Юрьевич,полковник,1,58
Козлов Евгений Сергеевич,майор,3,20
Макаров Роман Кириллович,лейтенант,5,43
Николаев Дмитрий Ильич,сержант,7,33
Иванов Дмитрий Михайлович,сержант,12,51
Макаров Егор Павлович,рядовой,1,28
Захаров Егор Никитич,сержант,5,19
Алексеев Артём Павлович,рядовой,6,50
Кузнецов Олег Кириллович,лейтенант,11,36
Новиков Михаил Максимович,майор,2,58
Зайцев Иван Алексеевич,полковник,6,48
Лебедев Артём Ильич,рядовой,6,34
Морозов Александр Романович,прапорщик,3,30
Алексеев Матвей Александрович,рядовой,1,58
Петров Егор Павлович,прапорщик,7,28
Макаров Юрий Алексеевич,капитан,1,19
Макаров Егор Кириллович,рядовой,2,39
Козлов Виктор Юрьевич,рядовой,2,43
Кузнецов Андрей Никитич,рядовой,10,57
Борисов Денис Андреевич,рядовой,10,29
Борисов Сергей Кириллович,лейтенант,2,45
Захаров Кирилл Михайлович,сержант,2,34
Никитин Степан Олегович,майор,12,24
Степанов Артём Ильич,прапорщик,8,57
Степанов Олег Иванович,полковник,1,59
Смирнов Юрий Дмитриевич,лейтенант,6,46
Михайлов Артём Алексеевич,рядовой,1,50
Васильев Юрий Дмитриевич,капитан,12,44
Попов Дмитрий Дмитриевич,лейтенант,3,52
Морозов Иван Иванович,лейтенант,8,59
Соколов Андрей Максимович,полковник,4,29
Павлов Денис Юрьевич,рядовой,4,38
Михайлов Дмитрий Павлович,полковник,12,31
Кузнецов Юрий Максимович,прапорщик,8,47
Соловьёв Кирилл Кириллович,сержант,10,45
Зайцев Юрий Сергеевич,лейтенант,4,49
Соловьёв Евгений Александрович,лейтенант,8,29
Иванов Виктор Алексеевич,майор,4,32
Зайцев Денис Сергеевич,капитан,10,38
Соколов Денис Романович,лейтенант,9,44
Попов Иван Юрьевич,лейтенант,9,45
Петров Максим Романович,полковник,12,24
Кочергин Денис Михайлович,сержант,10,37
Петров Матвей Юрьевич,лейтенант,11,47
Соколов Роман Андреевич,капитан,3,44
Яковлев Артём Иванович,майор,6,19
Никитин Степан Иванович,прапорщик,1,41
Кочергин Дмитрий Олегович,прапорщик,12,45
Петров Евгений Олегович,полковник,1,46
Захаров Егор Ильич,майор,6,39
Степанов Дмитрий Дмитриевич,прапорщик,6,33
Попов Матвей Павлович,сержант,12,29
Кузнецов Никита Иванович,полковник,4,49
Иванов Кирилл Дмитриевич,майор,6,54
Алексеев Сергей Дмитриевич,рядовой,9,20
Никитин Константин Олегович,майор,8,55
Андреев Кирилл Кириллович,сержант,3,52
Семёнов Никита Сергеевич,прапорщик,6,42
Макаров Кирилл Никитич,рядовой,2,34
Попов Сергей Ильич,рядовой,11,25
Егоров Павел Кириллович,прапорщик,5,48
Егоров Олег Никитич,рядовой,8,54
Захаров Евгений Ильич,лейтенант,4,29
Новиков Иван Александрович,капитан,10,54
Лебедев Олег Максимович,полковник,11,32
Захаров Андрей Андреевич,прапорщик,1,31
Кочергин Матвей Юрьевич,майор,6,38
Никитин Артём Михайлович,капитан,1,36
Егоров Павел Никитич,майор,2,55
Зайцев Юрий Андреевич,сержант,3,45
Козлов Юрий Романович,лейтенант,1,33
Морозов Илья Викторович,капитан,10,39
Никитин Степан Андреевич,капитан,6,18
Захаров Роман Ильич,майор,5,60
Егоров Михаил Дмитриевич,прапорщик,11,60
Егоров Иван Юрьевич,полковник,2,36
Зайцев Алексей Никитич,капитан,8,38
Семёнов Юрий Никитич,лейтенант,1,58
Васильев Дмитрий Сергеевич,полковник,10,52
Козлов Виктор Ильич,майор,12,58
Соколов Илья Михайлович,сержант,5,31
Орлов Виктор Ильич,рядовой,11,34
Смирнов Павел Дмитриевич,сержант,8,23
Кочергин Дмитрий Александрович,капитан,9,21
Фёдоров Иван Алексеевич,рядовой,5,40
Захаров Егор Максимович,майор,1,28
Алексеев Дмитрий Александрович,рядовой,12,37
Попов Дмитрий Иванович,полковник,11,54
Захаров Константин Викторович,лейтенант,7,60
Егоров Денис Андреевич,рядовой,1,44
Фёдоров Матвей Никитич,полковник,8,19
Егоров Денис Михайлович,сержант,2,49
Смирнов Денис Александрович,прапорщик,3,29
Орлов Максим Кириллович,рядовой,7,36
Никитин Константин Максимович,прапорщик,1,48
Новиков Олег Романович,прапорщик,3,31
Никитин Егор Ильич,майор,11,37
