fullName,rank,companyNumber,age
Алексеев Роман Дмитриевич,капитан,4,30
Фёдоров Степан Романович,прапорщик,7,22
Михайлов Олег Александрович,капитан,11,60
Борисов Егор Юрьевич,сержант,5,44
Семёнов Степан Юрьевич,прапорщик,3,53
Яковлев Павел Максимович,майор,7,44
Яковлев Сергей Иванович,майор,9,60
Сидоров Степан Андреевич,майор,11,53
Соколов Денис Викторович,рядовой,10,46
Соколов Илья Андреевич,капитан,4,47
Орлов Матвей Юрьевич,лейтенант,1,33
Фёдоров Кирилл Дмитриевич,сержант,10,19
Яковлев Михаил Никитич,полковник,10,28
Зайцев Максим Романович,полковник,8,57
Иванов Егор Кириллович,майор,1,32
Егоров Андрей Никитич,лейтенант,7,54
Борисов Иван Кириллович,капитан,3,48
Алексеев Михаил Алексеевич,полковник,5,20
Степанов Максим Никитич,сержант,2,37
Борисов Кирилл Викторович,майор,2,41
Смирнов Александр Алексеевич,лейтенант,9,55
Иванов Денис Максимович,полковник,6,32
Новиков Егор Алексеевич,полковник,4,41
Михайлов Дмитрий Михайлович,майор,7,21
Семёнов Виктор Иванович,сержант,1,31
Михайлов Максим Иванович,полковник,4,41
Андреев Иван Михайлович,прапорщик,10,38
Кузнецов Павел Юрьевич,полковник,7,49
Андреев Максим Олегович,майор,8,51
Орлов Иван Максимович,лейтенант,12,49
Орлов Павел Алексеевич,лейтенант,10,37
Фёдоров Константин Викторович,прапорщик,1,40
Васильев Олег Сергеевич,полковник,7,55
Захаров Константин Максимович,капитан,2,51
Павлов Денис Иванович,прапорщик,12,53
Попов Павел Михайлович,рядовой,1,45
Орлов Александр Иванович,лейтенант,5,33
Васильев Матвей Ильич,прапорщик,9,49
Семёнов Никита Олегович,рядовой,10,52
Васильев Артём Максимович,полковник,8,21
Соколов Михаил Дмитриевич,майор,1,51
Зайцев Константин Александрович,прапорщик,9,60
Макаров Дмитрий Олегович,сержант,9,58
Борисов Алексей Алексеевич,прапорщик,3,45
Николаев Матвей Кириллович,майор,3,57
Степанов Денис Михайлович,сержант,8,40
Смирнов Артём Никитич,капитан,7,43
Соловьёв Андрей Алексеевич,капитан,3,38
Михайлов Андрей Викторович,прапорщик,5,29
Кочергин Максим Максимович,сержант,10,48
Николаев Павел Олегович,рядовой,6,41
Смирнов Александр Андреевич,сержант,9,24
Макаров Виктор Романович,рядовой,6,33
Яковлев Виктор Дмитриевич,прапорщик,12,22
Новиков Денис Андреевич,рядовой,4,51
Морозов Александр Иванович,майор,6,44
Иванов Сергей Павлович,рядовой,6,21
Морозов Кирилл Алексеевич,рядовой,12,53
Николаев Иван Дмитриевич,прапорщик,12,18
Орлов Матвей Михайлович,сержант,12,44
Кочергин Максим Романович,полковник,7,43
Сидоров Иван Дмитриевич,майор,7,47
Новиков Артём Андреевич,полковник,2,33
Петров Никита Кириллович,прапорщик,3,45
Морозов Денис Максимович,майор,5,19
Кузнецов Максим Михайлович,капитан,3,57
Андреев Андрей Олегович,полковник,10,47
Кочергин Павел Олегович,прапорщик,8,31
Соловьёв Виктор Юрьевич,рядовой,2,56
Павлов Артём Ильич,капитан,11,32
Яковлев Артём Кириллович,лейтенант,12,52
Егоров Денис Михайлович,рядовой,10,21
Петров Егор Андреевич,капитан,6,41
Яковлев Никита Романович,рядовой,11,24
Захаров Евгений Дмитриевич,сержант,9,24
Николаев Андрей Викторович,полковник,2,58
Яковлев Андрей Александрович,майор,4,34
Петров Константин Романович,прапорщик,1,54
Смирнов Сергей Викторович,рядовой,3,56
Кочергин Сергей Олегович,капитан,5,51
Орлов Александр Романович,полковник,12,47
Михайлов Алексей Никитич,прапорщик,10,40
Кочергин Михаил Олегович,рядовой,3,60
Макаров Дмитрий Никитич,майор,11,56
Макаров Константин Павлович,майор,11,29
Соловьёв Дмитрий Никитич,прапорщик,8,44
Иванов Евгений Дмитриевич,лейтенант,4,27
Сидоров Матвей Павлович,капитан,1,23
Иванов Виктор Ильич,прапорщик,3,50
Кузнецов Артём Викторович,капитан,12,47
Михайлов Роман Павлович,сержант,8,51
Соколов Матвей Никитич,лейтенант,7,26
Новиков Андрей Ильич,лейтенант,8,50
Степанов Павел Александрович,капитан,10,22
Борисов Илья Сергеевич,полковник,9,45
Козлов Максим Олегович,капитан,10,40
Смирнов Сергей Ильич,сержант,8,26
Фёдоров Артём Олегович,полковник,11,57
Кочергин Александр Михайлович,сержант,1,54
Семёнов Михаил Романович,рядовой,4,39
Борисов Роман Романович,лейтенант,2,34
Петров Никита Алексеевич,полковник,6,50
Сидоров Матвей Андреевич,прапорщик,9,50
Васильев Кирилл Юрьевич,рядовой,1,50
Егоров Андрей Кириллович,прапорщик,3,22
Фёдоров Денис Никитич,полковник,1,45
Яковлев Артём Дмитриевич,рядовой,5,45
Иванов Александр Ильич,сержант,11,48
Морозов Андрей Алексеевич,полковник,6,54
Михайлов Денис Дмитриевич,майор,4,29
Козлов Сергей Романович,капитан,12,47
Соловьёв Артём Викторович,майор,1,36
Макаров Кирилл Никитич,лейтенант,5,39
Михайлов Матвей Кириллович,капитан,5,38
Иванов Никита Сергеевич,лейтенант,10,48
Смирнов Роман Сергеевич,прапорщик,9,41
Кузнецов Никита Александрович,рядовой,10,20
Смирнов Александр Михайлович,сержант,8,55
Кузнецов Роман Иванович,капитан,9,31
Павлов Кирилл Максимович,прапорщик,6,45
Козлов Степан Алексеевич,капитан,3,44
Орлов Михаил Сергеевич,рядовой,9,21
Николаев Юрий Олегович,рядовой,12,22
Семёнов Павел Михайлович,майор,6,55
Петров Михаил Кириллович,рядовой,1,22
Иванов Кирилл Дмитриевич,лейтенант,4,21
Петров Михаил Викторович,сержант,11,22
Попов Кирилл Никитич,прапорщик,7,49
Васильев Денис Юрьевич,капитан,8,28
Яковлев Роман Дмитриевич,рядовой,8,31
Павлов Александр Павлович,лейтенант,10,25
Смирнов Алексей Олегович,полковник,5,25
Лебедев Денис Романович,полковник,2,18
Новиков Константин Романович,полковник,5,30
Сидоров Алексей Олегович,рядовой,6,22
Николаев Олег Никитич,сержант,12,30
Васильев Александр Ильич,капитан,11,22
Петров Олег Алексеевич,прапорщик,10,19
Никитин Илья Викторович,капитан,10,22
Новиков Сергей Александрович,майор,12,18
Семёнов Сергей Алексеевич,прапорщик,5,29
Петров Евгений Викторович,сержант,2,21
Иванов Евгений Юрьевич,полковник,6,24
Смирнов Сергей Романович,полковник,9,52
Лебедев Матвей Никитич,капитан,6,35
Козлов Илья Михайлович,прапорщик,2,43
Соловьёв Дмитрий Андреевич,майор,8,19
Борисов Дмитрий Михайлович,лейтенант,11,60
Егоров Павел Иванович,капитан,10,55
Никитин Роман Сергеевич,капитан,10,60
Сидоров Михаил Михайлович,майор,12,49
Кузнецов Сергей Максимович,капитан,10,59
Сидоров Михаил Олегович,капитан,1,58
Егоров Павел Александрович,сержант,7,45
Алексеев Виктор Павлович,майор,12,24
Васильев Виктор Олегович,майор,7,19
Козлов Андрей Иванович,рядовой,8,54
Васильев Илья Олегович,рядовой,3,56
Орлов Илья Михайлович,майор,4,37
Козлов Сергей Олегович,капитан,11,35
Сидоров Виктор Дмитриевич,капитан,12,33
Зайцев Алексей Павлович,сержант,10,30
Захаров Кирилл Александрович,сержант,6,32
Морозов Дмитрий Романович,рядовой,2,53
Сидоров Алексей Павлович,прапорщик,12,35
Яковлев Егор Юрьевич,полковник,6,34
Николаев Степан Павлович,майор,5,56
Орлов Александр Алексеевич,прапорщик,6,27
Иванов Егор Алексеевич,полковник,9,37
Егоров Алексей Андреевич,сержант,3,32
Андреев Илья Иванович,рядовой,8,48
Кочергин Максим Кириллович,майор,3,33
Захаров Никита Максимович,сержант,5,23
Андреев Степан Александрович,майор,2,31
Кузнецов Константин Алексеевич,лейтенант,9,45
Козлов Дмитрий Олегович,рядовой,9,18
Попов Роман Никитич,капитан,2,59
Смирнов Илья Кириллович,майор,6,25
Попов Юрий Романович,лейтенант,6,18
Макаров Александр Михайлович,лейтенант,8,18
Петров Юрий Романович,прапорщик,1,23
Яковлев Денис Михайлович,майор,10,35
Михайлов Иван Павлович,лейтенант,3,27
Лебедев Максим Викторович,полковник,12,33
Алексеев Алексей Юрьевич,прапорщик,2,56
Соловьёв Никита Юрьевич,майор,9,54
Фёдоров Сергей Никитич,рядовой,12,46
Фёдоров Виктор Сергеевич,майор,6,51
Павлов Олег Максимович,майор,12,55
Морозов Олег Павлович,майор,6,36
Михайлов Максим Павлович,лейтенант,2,46
Лебедев Степан Олегович,прапорщик,4,38
Никитин Кирилл Александрович,лейтенант,12,28
Кочергин Артём Максимович,майор,8,40
Михайлов Павел Павлович,майор,10,25
Кочергин Егор Алексеевич,лейтенант,6,41
Соловьёв Алексей Никитич,сержант,1,42
Лебедев Александр Юрьевич,капитан,11,23
Кузнецов Кирилл Михайлович,капитан,6,37
Попов Виктор Кириллович,капитан,7,21
Фёдоров Роман Павлович,капитан,12,24
Борисов Павел Никитич,рядовой,6,47
Орлов Виктор Андреевич,капитан,2,42
