fullName,rank,companyNumber,age
Захаров Матвей Кириллович,рядовой,1,34
Николаев Егор Иванович,майор,3,28
Никитин Константин Викторович,капитан,3,53
Иванов Иван Романович,сержант,6,60
Степанов Кирилл Алексеевич,лейтенант,2,59
Кочергин Степан Андреевич,рядовой,4,32
Павлов Матвей Сергеевич,лейтенант,7,30
Захаров Сергей Михайлович,капитан,9,32
Новиков Сергей Ильич,прапорщик,6,48
Зайцев Дмитрий Сергеевич,полковник,8,48
Фёдоров Виктор Ильич,прапорщик,4,32
Семёнов Михаил Юрьевич,полковник,10,60
Николаев Павел Михайлович,полковник,6,41
Никитин Илья Александрович,капитан,6,27
Николаев Денис Олегович,рядовой,11,33
Павлов Александр Дмитриевич,майор,6,44
Соколов Кирилл Викторович,прапорщик,12,33
Павлов Андрей Андреевич,прапорщик,10,56
Семёнов Степан Иванович,прапорщик,6,40
Фёдоров Александр Никитич,полковник,2,38
Павлов Денис Александрович,полковник,5,50
Захаров Дмитрий Павлович,рядовой,7,47
Зайцев Виктор Алексеевич,прапорщик,12,34
Степанов Юрий Кириллович,капитан,3,30
Сидоров Степан Андреевич,рядовой,6,56
Петров Михаил Павлович,капитан,12,36
Зайцев Дмитрий Никитич,полковник,1,57
Михайлов Артём Михайлович,лейтенант,5,49
Степанов Денис Юрьевич,капитан,3,44
Егоров Егор Андреевич,прапорщик,6,51
Васильев Максим Никитич,рядовой,10,25
Орлов Олег Викторович,рядовой,5,48
Попов Иван Дмитриевич,сержант,10,30
Козлов Матвей Михайлович,майор,10,53
Николаев Илья Романович,сержант,4,44
Кузнецов Андрей Олегович,лейтенант,8,38
Петров Егор Ильич,майор,12,48
Николаев Юрий Ильич,полковник,3,59
Фёдоров Матвей Михайлович,капитан,1,34
Смирнов Юрий Никитич,прапорщик,9,43
Попов Артём Максимович,сержант,10,42
Семёнов Иван Никитич,сержант,5,58
Смирнов Олег Михайлович,лейтенант,8,22
Семёнов Олег Александрович,рядовой,7,37
Фёдоров Алексей Юрьевич,сержант,6,27
Николаев Константин Александрович,рядовой,4,31
Новиков Юрий Кириллович,майор,7,55
Новиков Роман Никитич,прапорщик,10,36
Михайлов Матвей Дмитриевич,рядовой,5,19
Смирнов Иван Викторович,полковник,12,44
Соловьёв Иван Иванович,сержант,1,18
Соколов Михаил Михайлович,майор,2,25
Фёдоров Андрей Алексеевич,лейтенант,5,37
Петров Степан Михайлович,рядовой,1,52
Кочергин Денис Андреевич,прапорщик,1,60
Васильев Александр Романович,майор,11,59
Михайлов Егор Иванович,капитан,11,49
