fullName,rank,companyNumber,age
Николаев Павел Сергеевич,лейтенант,3,39
Макаров Максим Кириллович,прапорщик,6,28
Николаев Максим Романович,лейтенант,1,34
Васильев Илья Максимович,прапорщик,5,24
Макаров Александр Дмитриевич,лейтенант,8,44
Попов Егор Юрьевич,лейтенант,6,52
Кочергин Сергей Юрьевич,полковник,10,59
Никитин Виктор Кириллович,сержант,8,22
Захаров Дмитрий Никитич,рядовой,6,34
Смирнов Максим Романович,сержант,7,28
Макаров Максим Максимович,прапорщик,10,57
Борисов Денис Александрович,лейтенант,11,28
Степанов Егор Алексеевич,рядовой,2,39
Васильев Артём Олегович,майор,9,52
Михайлов Виктор Никитич,прапорщик,4,24
Петров Роман Юрьевич,сержант,1,41
Иванов Егор Максимович,прапорщик,11,58
Степанов Денис Ильич,рядовой,1,31
Попов Олег Никитич,рядовой,8,25
Новиков Роман Юрьевич,лейтенант,11,34
Сидоров Олег Павлович,сержант,6,42
Морозов Алексей Викторович,рядовой,5,46
Лебедев Кирилл Кириллович,полковник,5,54
Петров Андрей Сергеевич,рядовой,11,40
Захаров Степан Олегович,полковник,10,32
Павлов Дмитрий Павлович,полковник,9,44
Павлов Виктор Юрьевич,капитан,4,48
Новиков Максим Павлович,полковник,12,20
Егоров Павел Андреевич,рядовой,8,29
Попов Артём Ильич,сержант,1,45
Сидоров Виктор Олегович,сержант,11,27
Зайцев Константин Михайлович,прапорщик,12,22
Сидоров Роман Павлович,капитан,6,35
Егоров Иван Александрович,полковник,12,57
Козлов Евгений Олегович,рядовой,7,27
Кузнецов Павел Сергеевич,рядовой,10,24
Захаров Михаил Иванович,лейтенант,5,42
Николаев Денис Юрьевич,рядовой,3,35
Кочергин Андрей Павлович,рядовой,7,39
Андреев Илья Дмитриевич,майор,8,35
Борисов Матвей Александрович,прапорщик,5,37
Михайлов Денис Сергеевич,полковник,4,26
Новиков Иван Романович,прапорщик,12,44
Степанов Олег Максимович,сержант,8,31
Яковлев Егор Юрьевич,полковник,9,41
Зайцев Дмитрий Алексеевич,рядовой,5,50
Кочергин Андрей Александрович,сержант,4,30
Зайцев Дмитрий Кириллович,рядовой,8,21
Яковлев Матвей Ильич,прапорщик,6,47
Егоров Роман Сергеевич,майор,1,33
Морозов Денис Викторович,сержант,8,55
Павлов Матвей Иванович,сержант,5,23
Новиков Александр Павлович,рядовой,3,54
Никитин Артём Кириллович,майор,4,31
Михайлов Олег Олегович,капитан,1,18
Семёнов Андрей Алексеевич,капитан,1,32
Михайлов Константин Никитич,майор,12,59
Михайлов Егор Павлович,полковник,6,47
Михайлов Артём Викторович,прапорщик,11,51
Зайцев Константин Павлович,капитан,2,18
Егоров Виктор Иванович,капитан,11,56
Степанов Михаил Никитич,майор,2,48
Сидоров Никита Михайлович,майор,6,35
Михайлов Олег Никитич,сержант,3,51
Никитин Илья Дмитриевич,полковник,10,43
Орлов Никита Андреевич,майор,1,59
Семёнов Михаил Михайлович,лейтенант,7,42
Макаров Дмитрий Ильич,прапорщик,12,32
Орлов Степан Юрьевич,майор,6,50
Новиков Алексей Алексеевич,прапорщик,2,48
Кузнецов Кирилл Алексеевич,майор,6,59
Сидоров Илья Иванович,сержант,12,37
Алексеев Никита Иванович,прапорщик,10,36
Лебедев Сергей Юрьевич,рядовой,11,55
Козлов Константин Максимович,лейтенант,4,50
Смирнов Виктор Павлович,капитан,5,44
Петров Андрей Андреевич,сержант,6,44
Козлов Иван Андреевич,прапорщик,12,29
Никитин Максим Юрьевич,прапорщик,11,29
Фёдоров Олег Дмитриевич,рядовой,8,35
Васильев Алексей Алексеевич,лейтенант,2,26
Степанов Егор Олегович,лейтенант,7,48
Кочергин Александр Дмитриевич,капитан,4,41
Иванов Никита Ильич,рядовой,11,18
Николаев Илья Кириллович,майор,6,37
Кузнецов Сергей Павлович,капитан,10,37
Попов Максим Дмитриевич,прапорщик,5,47
Макаров Евгений Романович,лейтенант,11,26
Фёдоров Денис Иванович,полковник,4,28
Яковлев Роман Александрович,сержант,4,26
Васильев Александр Алексеевич,рядовой,6,59
Захаров Дмитрий Павлович,майор,5,52
Степанов Дмитрий Дмитриевич,майор,2,59
Зайцев Александр Дмитриевич,майор,2,44
Лебедев Роман Сергеевич,капитан,5,48
Андреев Андрей Ильич,майор,11,58
Иванов Михаил Олегович,майор,2,60
Егоров Кирилл Андреевич,лейтенант,2,50
Макаров Константин Сергеевич,прапорщик,2,24
Семёнов Артём Ильич,полковник,5,51
Васильев Матвей Олегович,прапорщик,3,20
Павлов Денис Ильич,майор,8,39
Соколов Александр Александрович,майор,2,25
Зайцев Павел Юрьевич,сержант,2,50
Сидоров Сергей Михайлович,майор,4,47
Новиков Кирилл Викторович,рядовой,2,29
Соловьёв Дмитрий Никитич,прапорщик,11,38
Алексеев Сергей Сергеевич,полковник,1,18
Соловьёв Андрей Алексеевич,прапорщик,6,46
Степанов Кирилл Максимович,прапорщик,6,29
Смирнов Роман Павлович,лейтенант,5,42
Андреев Денис Олегович,майор,3,25
Кузнецов Юрий Дмитриевич,полковник,3,24
Алексеев Павел Юрьевич,полковник,10,46
Попов Константин Павлович,полковник,6,57
Иванов Виктор Андреевич,лейтенант,8,25
Борисов Егор Викторович,рядовой,2,34
Николаев Никита Александрович,майор,11,51
Никитин Павел Кириллович,майор,6,51
Егоров Юрий Сергеевич,лейтенант,11,33
Семёнов Матвей Павлович,сержант,9,57
Петров Александр Алексеевич,капитан,8,49
Соловьёв Алексей Максимович,полковник,8,38
Соколов Никита Михайлович,рядовой,9,32
Павлов Олег Павлович,лейтенант,4,23
Лебедев Иван Викторович,рядовой,8,46
Фёдоров Сергей Юрьевич,майор,11,19
Смирнов Роман Олегович,рядовой,9,53
Иванов Максим Никитич,капитан,9,31
Николаев Виктор Викторович,прапорщик,6,21
Зайцев Илья Викторович,прапорщик,9,57
Степанов Денис Иванович,майор,8,25
Смирнов Виктор Кириллович,рядовой,6,40
Зайцев Олег Никитич,капитан,9,41
Андреев Сергей Дмитриевич,сержант,8,26
Зайцев Юрий Олегович,рядовой,5,57
Васильев Артём Сергеевич,полковник,7,31
Лебедев Артём Романович,рядовой,7,20
Яковлев Олег Сергеевич,полковник,8,47
Орлов Павел Андреевич,лейтенант,1,51
Макаров Дмитрий Олегович,полковник,10,48
Яковлев Евгений Алексеевич,майор,10,29
Макаров Андрей Сергеевич,лейтенант,11,56
Степанов Никита Павлович,лейтенант,10,33
Михайлов Роман Романович,прапорщик,8,26
Кузнецов Егор Никитич,полковник,12,53
Соловьёв Никита Ильич,сержант,4,57
Андреев Михаил Иванович,майор,3,59
Попов Евгений Романович,майор,2,40
Павлов Денис Олегович,майор,12,52
Новиков Егор Александрович,капитан,2,19
Кочергин Андрей Дмитриевич,майор,1,30
Михайлов Алексей Никитич,майор,5,27
Зайцев Дмитрий Никитич,сержант,9,20
Морозов Иван Сергеевич,капитан,11,53
Соловьёв Илья Павлович,сержант,9,36
Андреев Виктор Дмитриевич,лейтенант,7,44
Захаров Виктор Романович,капитан,1,18
Макаров Кирилл Ильич,капитан,8,32
Яковлев Олег Иванович,полковник,10,52
Макаров Константин Ильич,полковник,12,30
Новиков Иван Алексеевич,майор,2,29
Попов Евгений Сергеевич,лейтенант,1,45
Михайлов Степан Михайлович,сержант,3,55
Соловьёв Кирилл Александрович,прапорщик,8,27
Петров Андрей Романович,капитан,1,58
Степанов Виктор Никитич,лейтенант,10,53
Морозов Максим Романович,капитан,4,29
Егоров Максим Алексеевич,лейтенант,9,52
Кочергин Максим Иванович,сержант,4,60
Фёдоров Никита Иванович,прапорщик,4,57
Егоров Денис Александрович,рядовой,11,40
Лебедев Илья Кириллович,рядовой,11,38
Кочергин Сергей Павлович,прапорщик,9,36
Иванов Евгений Иванович,капитан,9,46
Семёнов Дмитрий Никитич,майор,4,38
Егоров Максим Сергеевич,сержант,9,52
Иванов Олег Максимович,сержант,11,58
Никитин Артём Олегович,полковник,2,31
Павлов Юрий Олегович,майор,2,27
Иванов Иван Романович,рядовой,2,22
Петров Алексей Михайлович,капитан,2,54
Зайцев Илья Михайлович,лейтенант,7,46
Николаев Роман Олегович,прапорщик,1,42
Орлов Сергей Александрович,майор,12,57
Сидоров Павел Дмитриевич,майор,2,40
Яковлев Евгений Сергеевич,прапорщик,11,37
Степанов Максим Никитич,полковник,8,42
Кочергин Виктор Александрович,лейтенант,3,52
Соколов Андрей Павлович,полковник,9,36
Николаев Андрей Никитич,майор,12,59
Морозов Александр Андреевич,рядовой,1,18
Козлов Константин Павлович,капитан,9,23
Новиков Артём Иванович,сержант,7,59
Соловьёв Евгений Андреевич,сержант,3,32
Степанов Кирилл Ильич,рядовой,3,60
Захаров Павел Дмитриевич,полковник,9,47
Николаев Степан Максимович,прапорщик,11,22
Михайлов Сергей Ильич,майор,10,49
Фёдоров Матвей Андреевич,майор,11,33
Смирнов Михаил Максимович,сержант,6,49
Лебедев Никита Никитич,майор,10,27
Козлов Павел Иванович,полковник,6,45
Попов Александр Романович,сержант,4,59
Алексеев Кирилл Иванович,сержант,11,39
Борисов Денис Викторович,лейтенант,6,37
Семёнов Степан Сергеевич,сержант,11,56
Сидоров Кирилл Андреевич,капитан,4,34
Макаров Олег Максимович,майор,2,19
Соловьёв Евгений Александрович,полковник,10,55
Кочергин Павел Ильич,рядовой,9,34
Павлов Степан Юрьевич,майор,3,41
Кочергин Илья Никитич,сержант,8,50
Егоров Максим Павлович,прапорщик,9,18
Орлов Илья Алексеевич,полковник,9,26
Лебедев Алексей Алексеевич,капитан,10,60
Соловьёв Андрей Юрьевич,прапорщик,1,32
Никитин Денис Кириллович,рядовой,5,41
Соколов Дмитрий Ильич,капитан,6,42
Семёнов Иван Дмитриевич,рядовой,11,38
Смирнов Юрий Михайлович,полковник,12,34
Козлов Степан Алексеевич,лейтенант,11,42
Морозов Павел Максимович,капитан,5,42
Яковлев Илья Павлович,прапорщик,6,49
Захаров Денис Александрович,капитан,3,46
Попов Илья Максимович,капитан,11,35
Васильев Андрей Алексеевич,сержант,6,56
Андреев Сергей Кириллович,лейтенант,6,25
Семёнов Виктор Юрьевич,лейтенант,4,55
Попов Олег Олегович,рядовой,4,20
Кузнецов Павел Алексеевич,сержант,11,50
Петров Павел Андреевич,рядовой,3,34
Яковлев Алексей Павлович,капитан,10,58
Иванов Виктор Никитич,рядовой,4,46
Степанов Денис Юрьевич,сержант,4,44
Степанов Андрей Алексеевич,капитан,11,50
Михайлов Алексей Романович,лейтенант,10,55
Сидоров Илья Павлович,лейтенант,3,24
Иванов Артём Олегович,полковник,3,56
Смирнов Алексей Юрьевич,капитан,10,20
Борисов Степан Сергеевич,рядовой,8,60
Кузнецов Константин Александрович,полковник,11,59
Алексеев Евгений Олегович,прапорщик,1,51
Алексеев Илья Юрьевич,полковник,7,40
Козлов Юрий Сергеевич,лейтенант,3,34
Семёнов Илья Максимович,прапорщик,10,52
Алексеев Кирилл Ильич,рядовой,12,18
Козлов Евгений Сергеевич,капитан,1,42
Николаев Артём Романович,лейтенант,6,24
Кузнецов Егор Михайлович,прапорщик,9,45
Козлов Матвей Михайлович,майор,7,31
Алексеев Степан Юрьевич,сержант,6,53
Павлов Денис Михайлович,прапорщик,10,40
Никитин Юрий Павлович,майор,3,60
Смирнов Илья Викторович,полковник,12,28
Смирнов Артём Павлович,полковник,6,53
Степанов Юрий Дмитриевич,сержант,7,58
Иванов Максим Андреевич,лейтенант,10,45
Сидоров Максим Михайлович,сержант,6,23
Степанов Дмитрий Павлович,лейтенант,10,59
Егоров Михаил Дмитриевич,полковник,3,58
Семёнов Иван Александрович,сержант,11,51
Новиков Артём Дмитриевич,полковник,10,50
Егоров Юрий Кириллович,капитан,3,20
Морозов Илья Александрович,сержант,2,35
Никитин Роман Иванович,майор,7,43
Козлов Артём Александрович,майор,12,22
Яковлев Максим Никитич,майор,9,55
Морозов Матвей Михайлович,сержант,10,30
Лебедев Роман Александрович,прапорщик,3,44
Егоров Сергей Максимович,капитан,5,39
Смирнов Евгений Михайлович,капитан,10,34
Андреев Иван Павлович,капитан,8,33
Никитин Никита Викторович,майор,8,55
Соловьёв Александр Юрьевич,рядовой,5,22
Кочергин Олег Кириллович,майор,12,32
Захаров Никита Олегович,прапорщик,9,52
Иванов Юрий Михайлович,сержант,5,23
Кочергин Виктор Романович,рядовой,9,29
Семёнов Никита Иванович,сержант,10,35
Попов Виктор Ильич,лейтенант,12,30
Соколов Илья Михайлович,сержант,4,30
Зайцев Илья Иванович,сержант,2,25
Яковлев Максим Юрьевич,капитан,1,52
Петров Денис Иванович,капитан,6,49
Борисов Павел Михайлович,лейтенант,3,50
Михайлов Роман Кириллович,полковник,10,26
Петров Евгений Олегович,лейтенант,9,20
Егоров Матвей Павлович,полковник,11,29
Лебедев Сергей Викторович,прапорщик,12,18
Иванов Виктор Ильич,лейтенант,10,24
Фёдоров Матвей Михайлович,сержант,9,34
Соколов Кирилл Юрьевич,капитан,6,41
Попов Денис Олегович,сержант,7,41
Морозов Роман Михайлович,лейтенант,3,54
Кузнецов Павел Кириллович,полковник,2,35
Захаров Илья Олегович,полковник,7,30
Кузнецов Андрей Юрьевич,полковник,1,29
Алексеев Денис Андреевич,полковник,11,51
Павлов Никита Юрьевич,прапорщик,5,53
Соловьёв Павел Дмитриевич,лейтенант,2,28
Петров Артём Михайлович,лейтенант,11,24
Лебедев Никита Михайлович,прапорщик,6,53
Павлов Кирилл Иванович,рядовой,7,25
Морозов Виктор Ильич,капитан,10,59
Николаев Степан Алексеевич,полковник,5,40
Фёдоров Виктор Юрьевич,полковник,12,46
Борисов Максим Павлович,капитан,5,47
Николаев Андрей Алексеевич,майор,6,44
Николаев Константин Павлович,полковник,2,23
Попов Никита Кириллович,прапорщик,6,59
Новиков Юрий Михайлович,капитан,11,43
Михайлов Иван Иванович,майор,10,51
Лебедев Егор Алексеевич,сержант,1,26
Макаров Илья Михайлович,майор,12,23
Васильев Алексей Павлович,рядовой,2,22
Яковлев Денис Дмитриевич,рядовой,7,51
Никитин Максим Сергеевич,прапорщик,10,27
Сидоров Олег Павлович,прапорщик,4,33
Макаров Михаил Викторович,майор,3,26
Егоров Алексей Александрович,рядовой,11,40
Соловьёв Никита Юрьевич,лейтенант,9,35
Павлов Иван Андреевич,майор,9,29
Козлов Константин Викторович,майор,12,58
Борисов Павел Олегович,капитан,11,58
Павлов Михаил Иванович,лейтенант,9,32
Захаров Максим Викторович,прапорщик,6,44
Михайлов Андрей Никитич,рядовой,1,51
Зайцев Андрей Иванович,прапорщик,8,52
Иванов Юрий Юрьевич,полковник,8,37
Иванов Егор Никитич,капитан,4,18
Павлов Матвей Ильич,лейтенант,9,45
Кочергин Илья Алексеевич,майор,12,59
Кочергин Роман Кириллович,прапорщик,2,45
Николаев Илья Михайлович,прапорщик,11,52
Захаров Кирилл Олегович,сержант,2,29
Кузнецов Михаил Сергеевич,майор,8,57
Лебедев Кирилл Юрьевич,сержант,6,19
Кузнецов Дмитрий Александрович,сержант,2,36
Михайлов Андрей Викторович,майор,1,32
Сидоров Андрей Александрович,лейтенант,4,39
Алексеев Михаил Юрьевич,прапорщик,8,20
Фёдоров Максим Андреевич,рядовой,5,43
Сидоров Степан Юрьевич,сержант,4,34
Зайцев Роман Александрович,рядовой,12,33
Кочергин Иван Кириллович,майор,1,30
Лебедев Сергей Ильич,лейтенант,7,37
Яковлев Никита Алексеевич,майор,12,20
Макаров Степан Сергеевич,прапорщик,8,58
Новиков Артём Иванович,рядовой,11,31
Смирнов Илья Олегович,прапорщик,1,28
Захаров Кирилл Сергеевич,лейтенант,4,18
Петров Павел Юрьевич,майор,10,27
Морозов Максим Кириллович,сержант,8,23
Орлов Константин Романович,полковник,11,21
Петров Матвей Андреевич,майор,9,24
Кузнецов Денис Кириллович,прапорщик,9,59
Никитин Матвей Викторович,майор,4,19
Андреев Роман Иванович,майор,3,34
Борисов Дмитрий Юрьевич,майор,8,53
