fullName,rank,companyNumber,age
Андреев Максим Кириллович,прапорщик,1,46
Павлов Никита Сергеевич,лейтенант,10,55
Михайлов Константин Юрьевич,рядовой,9,57
Иванов Матвей Ильич,лейтенант,7,53
Васильев Михаил Андреевич,лейтенант,9,54
Козлов Константин Павлович,сержант,7,56
Лебедев Александр Кириллович,капитан,7,53
Павлов Евгений Сергеевич,лейтенант,9,60
Николаев Денис Максимович,прапорщик,1,41
Захаров Павел Олегович,сержант,6,47
Соловьёв Максим Викторович,лейтенант,1,56
Соколов Андрей Александрович,рядовой,3,45
Борисов Юрий Иванович,лейтенант,11,51
Козлов Степан Алексеевич,лейтенант,1,37
Сидоров Степан Александрович,полковник,10,41
Яковлев Андрей Максимович,полковник,8,41
Фёдоров Евгений Романович,рядовой,8,49
Лебедев Михаил Максимович,майор,12,26
Семёнов Михаил Павлович,капитан,3,22
Смирнов Степан Андреевич,прапорщик,2,56
Андреев Павел Павлович,сержант,7,35
Попов Алексей Андреевич,капитан,8,39
Егоров Павел Максимович,лейтенант,1,34
Макаров Матвей Михайлович,сержант,2,53
Морозов Виктор Никитич,прапорщик,8,20
Фёдоров Егор Андреевич,рядовой,10,27
Кузнецов Матвей Юрьевич,полковник,1,54
Иванов Дмитрий Максимович,майор,7,32
Яковлев Юрий Романович,лейтенант,5,21
Лебедев Алексей Ильич,полковник,3,35
Соловьёв Денис Алексеевич,капитан,3,53
Степанов Никита Михайлович,рядовой,1,23
Семёнов Евгений Алексеевич,сержант,12,34
Андреев Иван Кириллович,рядовой,3,44
Сидоров Роман Иванович,рядовой,8,22
Петров Матвей Дмитриевич,рядовой,2,54
Морозов Александр Алексеевич,полковник,8,24
Зайцев Виктор Максимович,прапорщик,3,45
Сидоров Дмитрий Иванович,сержант,8,21
Зайцев Павел Андреевич,сержант,1,20
Лебедев Максим Олегович,капитан,6,18
Иванов Денис Михайлович,майор,11,23
Борисов Евгений Никитич,капитан,12,38
Андреев Михаил Кириллович,полковник,11,27
Захаров Павел Викторович,лейтенант,10,53
